,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
192,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 00:00:00,9.5,,494,0,0,0,0,0,0
193,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 01:00:00,7.4,,494,0,0,0,0,0,0
194,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 02:00:00,6.1,,494,0,0,0,0,0,0
195,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 03:00:00,4.5,,494,0,0,0,0,0,0
196,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 04:00:00,3.4,,494,0,0,0,0,0,0
197,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 05:00:00,2.5,,494,0,0,0,0,0,0
198,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 06:00:00,1.9,,494,0,0,0,0,0,0
199,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 07:00:00,1.9,,494,0,0,0,0,0,0
200,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 08:00:00,1.7,,494,0,0,0,0,0,0
201,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 09:00:00,-0.5,,494,0,0,0,0,0,0
202,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 10:00:00,-0.5,,494,0,0,0,0,0,0
203,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 11:00:00,-0.6,,494,0,0,0,0,0,0
204,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 12:00:00,-1.1,,480,0,0,0,0,0,0
205,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 13:00:00,-1.5,,432,0,0,0,0,0,0
206,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 14:00:00,-1.0,,432,0,0,0,0,0,0
207,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 15:00:00,0.6,,425,0,0,0,0,0,0
208,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 16:00:00,2.7,,425,0,0,0,0,0,0
209,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 17:00:00,5.1,,425,0,0,0,0,0,0
210,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 18:00:00,6.8,,425,0,0,0,0,0,0
211,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 19:00:00,8.0,,425,0,0,0,0,0,0
212,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 20:00:00,7.0,,416,0,0,0,0,0,0
213,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 21:00:00,7.0,,416,0,0,0,0,0,0
214,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 22:00:00,7.0,,416,0,0,0,0,0,0
215,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-18 23:00:00,4.0,,416,0,0,0,0,0,0
216,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 00:00:00,3.0,,416,0,0,0,0,0,0
217,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 01:00:00,1.0,,416,0,0,0,0,0,0
218,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 02:00:00,1.0,,416,0,0,0,0,0,0
219,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 03:00:00,1.0,,416,0,0,0,0,0,0
220,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 04:00:00,0.0,,416,0,0,0,0,0,0
221,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 05:00:00,0.0,,416,0,0,0,0,0,0
222,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 06:00:00,0.0,,416,0,0,0,0,0,0
223,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 07:00:00,0.0,,416,0,0,0,0,0,0
224,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 08:00:00,-1.0,,416,0,0,0,0,0,0
225,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 09:00:00,-2.0,,416,0,0,0,0,0,0
226,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 10:00:00,-3.0,,416,0,0,0,0,0,0
227,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-19 11:00:00,-4.0,,416,0,0,0,0,0,0
